"bis","77’000","0","–","0.–", 
"über","77’000","0","+","0.50","für je weitere 1000.– Vemögen", 
"über ","308’000","115","+","1.– ","für je weitere 1000.– Vemögen", 
"über ","694’000","501","+","1.50","für je weitere 1000.– Vemögen", 
"über ","1’310’000","1’425","+","2.– ","für je weitere 1000.– Vemögen", 
"über ","2’235’000","3’274","+","2.50","für je weitere 1000.– Vemögen", 
"über ","3’158’000","5’580","+","3.– ","für je weitere 1000.– Vemögen", 
